,num,mb_sex,mb_birth,mb_4,mb_6,태그-직장,태그-결혼여부
18035,7503,F,20040807,기타,,A04-00,A06-00
18036,20225,F,20040807,False,,A04-00,A06-00
18037,8530,M,20040808,기타,미혼,A04-00,A06-01
18038,11859,F,20040808,기타,미혼,A04-00,A06-01
18039,8248,F,20040809,기타,미혼,A04-00,A06-01
18040,14559,F,20040810,기타,,A04-00,A06-00
18041,14560,F,20040810,기타,,A04-00,A06-00
18042,9148,M,20040811,False,,A04-00,A06-00
18043,10681,M,20040811,False,미혼,A04-00,A06-01
18044,8618,M,20040812,기타,미혼,A04-00,A06-01
18045,9220,M,20040812,기타,미혼,A04-00,A06-01
18046,13512,F,20040812,기타,미혼,A04-00,A06-01
18047,14429,M,20040812,기타,미혼,A04-00,A06-01
18048,14648,F,20040812,False,,A04-00,A06-00
18049,7606,M,20040813,대학(원)생,미혼,A04-01,A06-01
18050,9388,F,20040813,근로자,미혼,A04-03,A06-01
18051,11368,M,20040813,대학(원)생,미혼,A04-01,A06-01
18052,5144,M,20040814,기타,미혼,A04-00,A06-01
18053,7122,M,20040814,기타,미혼,A04-00,A06-01
18054,9588,M,20040815,False,,A04-00,A06-00
18055,10907,M,20040815,기타,,A04-00,A06-00
18056,8436,F,20040816,기타,미혼,A04-00,A06-01
18057,8765,M,20040816,기타,미혼,A04-00,A06-01
18058,9643,F,20040816,기타,,A04-00,A06-00
18059,8382,F,20040817,기타,미혼,A04-00,A06-01
18060,9515,M,20040817,기타,미혼,A04-00,A06-01
18061,12256,M,20040817,False,,A04-00,A06-00
18062,9948,M,20040818,근로자,미혼,A04-03,A06-01
18063,9994,F,20040818,기타,미혼,A04-00,A06-01
18064,7279,M,20040819,기타,미혼,A04-00,A06-01
18065,11036,M,20040819,기타,미혼,A04-00,A06-01
18066,14921,M,20040819,"대학(원)생,기타",미혼,A04-01,A06-01
18067,7292,M,20040820,기타,미혼,A04-00,A06-01
18068,12840,F,20040820,기타,미혼,A04-00,A06-01
18069,21797,M,20040820,기타,미혼,A04-00,A06-01
18070,24652,M,20040820,기타,미혼,A04-00,A06-01
18071,25865,M,20040820,False,,A04-00,A06-00
18072,9347,M,20040821,기타,미혼,A04-00,A06-01
18073,9547,M,20040821,기타,미혼,A04-00,A06-01
18074,13946,M,20040821,기타,미혼,A04-00,A06-01
18075,12285,M,20040822,기타,미혼,A04-00,A06-01
18076,7446,F,20040823,기타,미혼,A04-00,A06-01
18077,7529,M,20040823,기타,미혼,A04-00,A06-01
18078,10427,M,20040823,예비창업자,미혼,A04-04,A06-01
18079,13549,M,20040823,기타,미혼,A04-00,A06-01
18080,14483,M,20040823,기타,미혼,A04-00,A06-01
18081,11352,M,20040824,기타,미혼,A04-00,A06-01
18082,16535,M,20040824,기타,미혼,A04-00,A06-01
18083,6142,M,20040825,기타,미혼,A04-00,A06-01
18084,9446,F,20040825,기타,미혼,A04-00,A06-01
18085,14144,M,20040825,기타,,A04-00,A06-00
18086,21173,M,20040825,"예비창업자,프리랜서,기타",미혼,A04-04,A06-01
18087,9896,M,20040826,기타,미혼,A04-00,A06-01
18088,11063,M,20040826,False,,A04-00,A06-00
18089,23896,F,20040826,기타,미혼,A04-00,A06-01
18090,26108,F,20040826,기타,미혼,A04-00,A06-01
18091,12339,F,20040827,기타,미혼,A04-00,A06-01
18092,19863,M,20040827,기타,,A04-00,A06-00
18093,6366,M,20040828,기타,미혼,A04-00,A06-01
18094,8607,F,20040828,기타,미혼,A04-00,A06-01
18095,21383,M,20040828,기타,미혼,A04-00,A06-01
18096,6915,F,20040829,기타,,A04-00,A06-00
18097,11384,M,20040829,기타,미혼,A04-00,A06-01
18098,11783,M,20040829,기타,미혼,A04-00,A06-01
18099,12278,F,20040830,기타,미혼,A04-00,A06-01
18100,23134,M,20040830,기타,미혼,A04-00,A06-01
18101,24022,M,20040830,기타,미혼,A04-00,A06-01
